time,u_in,Vin,f_cmd,f_m,eta,v,v_tilde
0.183,103.766432,0.684858,4.000000,-0.029264,17.235338,-31.021322,-6.073788
0.184,103.760879,0.684822,4.000000,-0.023856,17.234730,-55.536920,-10.873896
0.185,103.759884,0.684815,4.000000,-0.031695,17.233643,-9.949440,-1.948091
0.186,103.756070,0.684790,4.000000,-0.025982,17.233448,-38.132085,-7.466249
0.187,103.744648,0.684715,4.000000,-0.010336,17.232701,-114.223704,-22.365218
0.188,103.732821,0.684637,4.000000,-0.007307,17.230465,-118.266655,-23.157629
0.189,103.714408,0.684515,4.000000,0.007907,17.228149,-184.135193,-36.056535
0.190,103.684626,0.684319,4.000000,0.033777,17.224543,-297.814463,-58.319925
0.191,103.655901,0.684129,4.000000,0.037545,17.218711,-287.251515,-56.256448
0.192,103.626494,0.683935,4.000000,0.044511,17.213085,-294.068108,-57.596399
0.193,103.595588,0.683731,4.000000,0.053214,17.207325,-309.067412,-60.539514
0.194,103.570305,0.683564,4.000000,0.048257,17.201271,-252.829159,-49.528268
0.195,103.549764,0.683428,4.000000,0.043923,17.196318,-205.405245,-40.241156
0.196,103.533213,0.683319,4.000000,0.040134,17.192294,-165.511139,-32.427459
0.197,103.542726,0.683382,4.000000,-0.007690,17.189051,95.130171,18.639125
0.198,103.553119,0.683451,4.000000,-0.011277,17.190915,103.926199,20.361975
0.199,103.564073,0.683523,4.000000,-0.014413,17.192951,109.543164,21.461822
0.200,103.566934,0.683542,4.000000,-0.000703,17.195097,28.611525,5.605419
0.201,103.561758,0.683508,4.000000,0.014482,17.195658,-51.758511,-10.140167
0.202,103.557146,0.683477,4.000000,0.014393,17.194644,-46.123355,-9.036306
0.203,103.553035,0.683450,4.000000,0.014314,17.193740,-41.109499,-8.054123
0.204,103.549370,0.683426,4.000000,0.014245,17.192935,-36.647539,-7.180030
0.205,103.542896,0.683383,4.000000,0.020469,17.192217,-64.745534,-12.685162
0.206,103.540678,0.683368,4.000000,0.013397,17.190948,-22.175060,-4.344696
0.207,103.541866,0.683376,4.000000,0.007160,17.190514,11.873430,2.326343
0.208,103.548924,0.683423,4.000000,-0.004576,17.190746,70.585976,13.829752
0.209,103.557308,0.683478,4.000000,-0.008554,17.192129,83.832953,16.424855
0.210,103.566628,0.683540,4.000000,-0.012032,17.193772,93.204766,18.260555
0.211,103.562697,0.683514,4.000000,0.012105,17.195598,-39.314587,-7.702247
0.212,103.555845,0.683469,4.000000,0.018597,17.194827,-68.520279,-13.424186
0.213,103.556402,0.683472,4.000000,0.005423,17.193485,5.570980,1.091464
0.214,103.553161,0.683451,4.000000,0.012755,17.193594,-32.408338,-6.349416
0.215,103.543765,0.683389,4.000000,0.025449,17.192959,-93.956474,-18.408058
0.216,103.533910,0.683324,4.000000,0.028191,17.191118,-98.554695,-19.309491
0.217,103.529172,0.683293,4.000000,0.020095,17.189187,-47.377644,-9.282817
0.218,103.520501,0.683235,4.000000,0.028730,17.188259,-86.709864,-16.989516
0.219,103.513657,0.683190,4.000000,0.026850,17.186560,-68.440548,-13.410263
0.220,103.512277,0.683181,4.000000,0.017485,17.185219,-13.803073,-2.704634
0.221,103.511034,0.683173,4.000000,0.017485,17.184949,-12.422712,-2.434170
0.222,103.522566,0.683249,4.000000,-0.007301,17.184705,115.316129,22.595721
0.223,103.536423,0.683340,4.000000,-0.014115,17.186965,138.566455,27.150587
0.224,103.550313,0.683432,4.000000,-0.016895,17.189680,138.900435,27.214896
0.225,103.557641,0.683480,4.000000,-0.006758,17.192401,73.279601,14.357144
0.226,103.562919,0.683515,4.000000,-0.004179,17.193837,52.787666,10.342080
0.227,103.566519,0.683539,4.000000,-0.001924,17.194871,35.998433,7.052647
0.228,103.564665,0.683527,4.000000,0.008055,17.195576,-18.537162,-3.631676
0.229,103.556217,0.683471,4.000000,0.021339,17.195213,-84.489489,-16.552704
0.230,103.545891,0.683403,4.000000,0.026671,17.193558,-103.252106,-20.229083
0.231,103.537427,0.683347,4.000000,0.025050,17.191535,-84.647683,-16.584631
0.232,103.527325,0.683280,4.000000,0.029915,17.189876,-101.013358,-19.791585
0.233,103.514165,0.683193,4.000000,0.037889,17.187897,-131.603364,-25.785877
0.234,103.500661,0.683104,4.000000,0.041141,17.185319,-135.034931,-26.459291
0.235,103.487058,0.683015,4.000000,0.043984,17.182673,-136.036873,-26.656695
0.236,103.476753,0.682947,4.000000,0.040187,17.180007,-103.050950,-20.193862
0.237,103.472379,0.682918,4.000000,0.030584,17.177988,-43.738749,-8.571309
