time,u_in,Vin,f_cmd,f_m,eta,v,v_tilde
0.142,25.716672,0.169730,10.000000,0.534300,-29.587686,1822.001870,1048.533861
0.143,25.898889,0.170933,10.000000,0.534300,-29.482890,1822.171776,1047.485900
0.144,26.081126,0.172135,10.000000,0.532799,-29.378198,1822.368012,1046.453991
0.145,26.263419,0.173339,10.000000,0.510125,-29.273610,1822.933653,1045.634853
0.146,26.445757,0.174542,10.000000,0.494567,-29.169104,1823.376190,1044.745367
0.147,26.628119,0.175746,10.000000,0.490626,-29.064686,1823.616580,1043.740600
0.148,26.810492,0.176949,10.000000,0.493464,-28.960369,1823.738770,1042.669053
0.149,26.992877,0.178153,10.000000,0.497325,-28.856159,1823.843135,1041.588346
0.150,27.175286,0.179357,10.000000,0.493038,-28.752058,1824.090382,1040.590200
0.151,27.357719,0.180561,10.000000,0.489289,-28.648056,1824.328550,1039.587664
0.152,27.540164,0.181765,10.000000,0.492295,-28.544154,1824.448417,1038.518588
0.153,27.722632,0.182969,10.000000,0.488640,-28.440359,1824.685514,1037.517189
0.154,27.905109,0.184174,10.000000,0.493637,-28.336664,1824.770628,1036.430268
0.155,28.087599,0.185378,10.000000,0.496096,-28.233077,1824.900477,1035.369811
0.156,28.270103,0.186583,10.000000,0.498246,-28.129597,1825.035886,1034.313505
0.157,28.452632,0.187787,10.000000,0.493843,-28.026222,1825.287176,1033.323788
0.158,28.635162,0.188992,10.000000,0.502560,-27.922946,1825.306847,1032.203864
0.159,28.817707,0.190197,10.000000,0.504278,-27.819783,1825.450262,1031.155041
0.160,29.000279,0.191402,10.000000,0.499117,-27.716724,1825.715734,1030.176062
0.161,29.182887,0.192607,10.000000,0.488322,-27.613762,1826.081592,1029.254407
0.162,29.365518,0.193812,10.000000,0.485166,-27.510893,1826.312403,1028.257275
0.163,29.548183,0.195018,10.000000,0.476123,-27.408124,1826.648218,1027.320005
0.164,29.730882,0.196224,10.000000,0.466798,-27.305448,1826.989643,1026.386500
0.165,29.913599,0.197430,10.000000,0.466798,-27.202866,1827.165485,1025.360676
0.166,30.096333,0.198636,10.000000,0.466798,-27.100386,1827.341536,1024.335877
0.167,30.279084,0.199842,10.000000,0.466798,-26.998008,1827.517797,1023.312103
0.168,30.461864,0.201048,10.000000,0.461106,-26.895733,1827.796028,1022.346269
0.169,30.644672,0.202255,10.000000,0.455318,-26.793555,1828.076429,1021.382365
0.170,30.827497,0.203461,10.000000,0.455318,-26.691472,1828.253568,1020.361542
0.171,31.010340,0.204668,10.000000,0.455318,-26.589492,1828.430918,1019.341740
0.172,31.193206,0.205875,10.000000,0.452441,-26.487614,1828.660149,1018.351731
0.173,31.376088,0.207082,10.000000,0.453794,-26.385835,1828.813662,1017.320407
0.174,31.558984,0.208289,10.000000,0.455222,-26.284158,1828.965987,1016.289367
0.175,31.741897,0.209497,10.000000,0.456225,-26.182585,1829.126107,1015.263599
0.176,31.924826,0.210704,10.000000,0.457103,-26.081114,1829.288674,1014.240118
0.177,32.107771,0.211911,10.000000,0.457870,-25.979746,1829.453409,1013.218762
0.178,32.290710,0.213119,10.000000,0.471107,-25.878480,1829.392923,1012.073727
0.179,32.473640,0.214326,10.000000,0.486517,-25.777328,1829.292785,1010.908110
0.180,32.656558,0.215533,10.000000,0.502437,-25.676293,1829.182972,1009.738552
0.181,32.839492,0.216741,10.000000,0.503791,-25.575374,1829.336888,1008.715833
0.182,33.022475,0.217948,10.000000,0.486125,-25.474558,1829.836266,1007.884332
0.183,33.205482,0.219156,10.000000,0.483245,-25.373825,1830.067850,1006.905799
0.184,33.388505,0.220364,10.000000,0.484019,-25.273189,1830.233283,1005.891704
0.185,33.571563,0.221572,10.000000,0.475121,-25.172655,1830.575086,1004.975348
0.186,33.754664,0.222781,10.000000,0.461057,-25.072213,1831.011660,1004.111558
0.187,33.937794,0.223989,10.000000,0.455044,-24.971857,1831.302077,1003.168127
0.188,34.120941,0.225198,10.000000,0.456070,-24.871595,1831.464327,1002.155251
