time,Vin,Force
1.110000,0.000000,0.006933859
1.111000,0.000000,0.001936807
1.112000,0.000000,-0.002432296
1.113000,0.000000,-0.004098767
1.114000,0.000000,-0.001426232
1.115000,0.000000,-0.005372724
1.116000,0.000000,-0.015106470
1.117000,0.000000,-0.023617037
1.118000,0.000000,-0.008516935
1.119000,0.000000,-0.036705124
1.120000,0.000000,-0.055067895
1.121000,0.000000,-0.045990391
1.122000,0.000000,-0.038053600
1.123000,0.000000,-0.037613155
1.124000,0.000000,-0.037012263
1.125000,0.000000,-0.036486882
1.126000,0.000000,-0.029744337
1.127000,0.000000,-0.029744337
1.128000,0.000000,-0.029744337
1.129000,0.000000,-0.016617504
1.130000,0.000000,-0.018655004
1.131000,0.000000,0.000197683
1.132000,0.000000,0.008613495
1.133000,0.000000,0.015971745
1.134000,0.000000,0.028030447
1.135000,0.000000,0.020382320
1.136000,0.000000,0.013695285
1.137000,0.000000,0.014131753
1.138000,0.000000,0.020796558
1.139000,0.000000,0.025435657
1.140000,0.000000,0.030679972
1.141000,0.000000,0.028982081
1.142000,0.000000,0.027497554
1.143000,0.000000,0.026199578
1.144000,0.000000,-0.000270719
1.145000,0.000000,0.001920769
1.146000,0.000000,0.016403237
1.147000,0.000000,0.010216228
1.148000,0.000000,-0.001476483
1.149000,0.000000,-0.008861699
1.150000,0.000000,-0.008861699
1.151000,0.000000,-0.008861699
1.152000,0.000000,-0.008861699
1.153000,0.000000,-0.012540204
1.154000,0.000000,-0.012196044
1.155000,0.000000,-0.008505975
1.156000,0.000000,-0.005279615
1.157000,0.000000,0.003824495
1.158000,0.000000,-0.017375663
1.159000,0.000000,-0.019317890
1.160000,0.000000,-0.014732864
1.161000,0.000000,-0.017007195
1.162000,0.000000,-0.018995725
1.163000,0.000000,0.001299077
1.164000,0.000000,-0.002989887
1.165000,0.000000,-0.000456699
1.166000,0.000000,-0.010808210
1.167000,0.000000,-0.013575728
1.168000,0.000000,-0.023604753
1.169000,0.000000,-0.024764209
1.170000,0.000000,-0.025777964
1.171000,0.000000,-0.039230697
1.172000,0.000000,-0.044709724
1.173000,0.000000,-0.030650681
1.174000,0.000000,-0.030650681
1.175000,0.000000,-0.030650681
1.176000,0.000000,-0.035624788
1.177000,0.000000,-0.041556948
1.178000,0.000000,-0.040242685
1.179000,0.000000,-0.043990680
1.180000,0.000000,-0.030021994
1.181000,0.000000,-0.017808666
1.182000,0.000000,-0.019696480
1.183000,0.000000,-0.008780694
