time,u_in,Vin,f_cmd,f_m,integral,uff
0.128,3.569690,3.300000,4.391085,-0.003182,0.537035,1.284439
0.129,3.564040,3.300000,4.393974,0.008405,0.541421,1.284995
0.130,3.563805,3.300000,4.396860,0.012253,0.545805,1.285550
0.131,3.568305,3.300000,4.399741,0.009334,0.550196,1.286104
0.132,3.572545,3.300000,4.402619,0.006782,0.554591,1.286657
0.133,3.581929,3.300000,4.405493,-0.003120,0.559000,1.287210
0.134,3.580671,3.300000,4.408362,0.002176,0.563406,1.287762
0.135,3.579876,3.300000,4.411228,0.006807,0.567811,1.288313
0.136,3.588283,3.300000,4.414090,-0.001711,0.572226,1.288863
0.137,3.608743,3.300000,4.416947,-0.027446,0.576671,1.289413
0.138,3.622932,3.300000,4.419801,-0.044226,0.581135,1.289962
0.139,3.631246,3.300000,4.422650,-0.052614,0.585610,1.290510
0.140,3.621224,3.300000,4.425495,-0.034815,0.590070,1.291057
0.141,3.612764,3.300000,4.428336,-0.019253,0.594518,1.291603
0.142,3.617676,3.300000,4.431173,-0.022797,0.598972,1.292149
0.143,3.614665,3.300000,4.434005,-0.015028,0.603421,1.292693
0.144,3.621132,3.300000,4.436833,-0.020802,0.607879,1.293237
0.145,3.627089,3.300000,4.439657,-0.025850,0.612344,1.293780
0.146,3.629510,3.300000,4.442477,-0.025850,0.616813,1.294322
0.147,3.631928,3.300000,4.445292,-0.025850,0.621284,1.294864
0.148,3.623645,3.300000,4.448102,-0.010570,0.625742,1.295404
0.149,3.634877,3.300000,4.450909,-0.023171,0.630216,1.295944
0.150,3.631815,3.300000,4.453711,-0.015355,0.634685,1.296483
0.151,3.642632,3.300000,4.456508,-0.027371,0.639169,1.297021
0.152,3.650024,3.300000,4.459301,-0.034496,0.643663,1.297558
0.153,3.641559,3.300000,4.462089,-0.018974,0.648144,1.298094
0.154,3.647651,3.300000,4.464873,-0.024252,0.652633,1.298629
0.155,3.648877,3.300000,4.467652,-0.022584,0.657124,1.299164
0.156,3.650248,3.300000,4.470427,-0.021125,0.661615,1.299697
0.157,3.638871,3.300000,4.473197,-0.001464,0.666090,1.300230
0.158,3.642091,3.300000,4.475962,-0.002659,0.670568,1.300762
0.159,3.644472,3.300000,4.478723,-0.002659,0.675050,1.301293
0.160,3.656466,3.300000,4.481478,-0.016394,0.679548,1.301823
0.161,3.658365,3.300000,4.484229,-0.015713,0.684048,1.302352
0.162,3.659956,3.300000,4.486976,-0.014597,0.688549,1.302880
