time,u_in,Vin,f_cmd,f_m,integral,uff
0.118,-0.861746,0.000000,4.00,5.863201,0.249469,1.209231
0.119,-0.868283,0.000000,4.00,5.872512,0.247596,1.209231
0.120,-0.874584,0.000000,4.00,5.881487,0.245715,1.209231
0.121,-0.879512,0.000000,4.00,5.888500,0.243826,1.209231
0.122,-0.879425,0.000000,4.00,5.888349,0.241938,1.209231
0.123,-0.883749,0.000000,4.00,5.894499,0.240043,1.209231
0.124,-0.887533,0.000000,4.00,5.899877,0.238143,1.209231
0.125,-0.848103,0.000000,4.00,5.843523,0.236300,1.209231
0.126,-0.829980,0.000000,4.00,5.817607,0.234482,1.209231
0.127,-0.814137,0.000000,4.00,5.794949,0.232687,1.209231
0.128,-0.791490,0.000000,4.00,5.762571,0.230925,1.209231
0.129,-0.726574,0.000000,4.00,5.669809,0.229255,1.209231
0.130,-0.710535,0.000000,4.00,5.646873,0.227608,1.209231
0.131,-0.692116,0.000000,4.00,5.620537,0.225987,1.209231
0.132,-0.671615,0.000000,4.00,5.591227,0.224396,1.209231
0.133,-0.649293,0.000000,4.00,5.559316,0.222837,1.209231
0.134,-0.601165,0.000000,4.00,5.490541,0.221346,1.209231
0.135,-0.583302,0.000000,4.00,5.465001,0.219881,1.209231
0.136,-0.558888,0.000000,4.00,5.430103,0.218451,1.209231
0.137,-0.541941,0.000000,4.00,5.405874,0.217045,1.209231
0.138,-0.518329,0.000000,4.00,5.372123,0.215673,1.209231
0.139,-0.466983,0.000000,4.00,5.298752,0.214375,1.209231
0.140,-0.435200,0.000000,4.00,5.253330,0.213121,1.209231
0.141,-0.411810,0.000000,4.00,5.219899,0.211901,1.209231
0.142,-0.378166,0.000000,4.00,5.171820,0.210729,1.209231
0.143,-0.344353,0.000000,4.00,5.123499,0.209606,1.209231
0.144,-0.271891,0.000000,4.00,5.019967,0.208586,1.209231
0.145,-0.238239,0.000000,4.00,4.971879,0.207614,1.209231
0.146,-0.200020,0.000000,4.00,4.917267,0.206697,1.209231
0.147,-0.166605,0.000000,4.00,4.869519,0.205827,1.209231
0.148,-0.137389,0.000000,4.00,4.827770,0.205000,1.209231
0.149,-0.064220,0.000000,4.00,4.723232,0.204276,1.209231
0.150,-0.021481,0.000000,4.00,4.662168,0.203614,1.209231
0.151,0.024683,0.024683,4.00,4.596210,0.203018,1.209231
0.152,0.112984,0.112984,4.00,4.470059,0.202548,1.209231
0.153,0.155446,0.155446,4.00,4.409393,0.202139,1.209231
0.154,0.192573,0.192573,4.00,4.356350,0.201782,1.209231
0.155,0.229432,0.229432,4.00,4.303690,0.201478,1.209231
0.156,0.266057,0.266057,4.00,4.251364,0.201227,1.209231
0.157,0.330480,0.330480,4.00,4.159329,0.201068,1.209231
0.158,0.350010,0.350010,4.00,4.131428,0.200936,1.209231
0.159,0.367086,0.367086,4.00,4.107032,0.200829,1.209231
0.160,0.395211,0.395211,4.00,4.066853,0.200762,1.209231
0.161,0.415403,0.415403,4.00,4.038005,0.200724,1.209231
0.162,0.469935,0.469935,4.00,3.960104,0.200764,1.209231
0.163,0.498331,0.498331,4.00,3.919539,0.200845,1.209231
0.164,0.518762,0.518762,4.00,3.890354,0.200954,1.209231
0.165,0.536625,0.536625,4.00,3.864837,0.201090,1.209231
0.166,0.556643,0.556643,4.00,3.836243,0.201253,1.209231
0.167,0.610885,0.610885,4.00,3.758757,0.201495,1.209231
0.168,0.639165,0.639165,4.00,3.718361,0.201776,1.209231
0.169,0.655096,0.655096,4.00,3.695607,0.202081,1.209231
0.170,0.673423,0.673423,4.00,3.669430,0.202411,1.209231
0.171,0.698245,0.698245,4.00,3.633976,0.202777,1.209231
0.172,0.755409,0.755409,4.00,3.552320,0.203225,1.209231
0.173,0.769930,0.769930,4.00,3.531582,0.203693,1.209231
0.174,0.787025,0.787025,4.00,3.507167,0.204186,1.209231
0.175,0.815168,0.815168,4.00,3.466970,0.204719,1.209231
0.176,0.830979,0.830979,4.00,3.444392,0.205275,1.209231
0.177,0.857916,0.857916,4.00,3.405918,0.205869,1.209231
0.178,0.872755,0.872755,4.00,3.384728,0.206484,1.209231
0.179,0.894527,0.894527,4.00,3.353635,0.207131,1.209231
0.180,0.913564,0.913564,4.00,3.326449,0.207804,1.209231
0.181,0.932116,0.932116,4.00,3.299956,0.208504,1.209231
0.182,0.942033,0.942033,4.00,3.285798,0.209218,1.209231
0.183,0.959502,0.959502,4.00,3.260854,0.209957,1.209231
0.184,0.979175,0.979175,4.00,3.232760,0.210725,1.209231
0.185,0.987581,0.987581,4.00,3.220764,0.211504,1.209231
0.186,1.026082,1.026082,4.00,3.165773,0.212338,1.209231
0.187,1.037392,1.037392,4.00,3.149628,0.213189,1.209231
0.188,1.056079,1.056079,4.00,3.122945,0.214066,1.209231
0.189,1.076817,1.076817,4.00,3.093332,0.214972,1.209231
0.190,1.094950,1.094950,4.00,3.067441,0.215905,1.209231
0.191,1.129060,1.129060,4.00,3.018727,0.216886,1.209231
0.192,1.153827,1.153827,4.00,2.983361,0.217903,1.209231
0.193,1.175482,1.175482,4.00,2.952439,0.218950,1.209231
0.194,1.190020,1.190020,4.00,2.931686,0.220019,1.209231
0.195,1.198334,1.198334,4.00,2.919825,0.221099,1.209231
0.196,1.232285,1.232285,4.00,2.871338,0.222227,1.209231
0.197,1.248486,1.248486,4.00,2.848211,0.223379,1.209231
0.198,1.280246,1.280246,4.00,2.802857,0.224576,1.209231
0.199,1.308017,1.308017,4.00,2.763202,0.225813,1.209231
0.200,1.323503,1.323503,4.00,2.741097,0.227072,1.209231
0.201,1.406018,1.406018,4.00,2.623237,0.228449,1.209231
0.202,1.417991,1.417991,4.00,2.606154,0.229843,1.209231
0.203,1.437257,1.437257,4.00,2.578651,0.231264,1.209231
0.204,1.454104,1.454104,4.00,2.554605,0.232709,1.209231
0.205,1.473234,1.473234,4.00,2.527297,0.234182,1.209231
0.206,1.504576,1.504576,4.00,2.482544,0.235700,1.209231
0.207,1.526165,1.526165,4.00,2.451725,0.237248,1.209231
0.208,1.549441,1.549441,4.00,2.418496,0.238829,1.209231
0.209,1.574193,1.574193,4.00,2.383159,0.240446,1.209231
0.210,1.582642,1.582642,4.00,2.371112,0.242075,1.209231
0.211,1.613519,1.613519,4.00,2.327027,0.243748,1.209231
0.212,1.630225,1.630225,4.00,2.303184,0.245445,1.209231
0.213,1.631640,1.631640,4.00,2.301187,0.247144,1.209231
0.214,1.632879,1.632879,4.00,2.299442,0.248844,1.209231
0.215,1.642762,1.642762,4.00,2.285349,0.250559,1.209231
0.216,1.641905,1.641905,4.00,2.286596,0.252272,1.209231
0.217,1.633064,1.633064,4.00,2.299250,0.253973,1.209231
0.218,1.625337,1.625337,4.00,2.310314,0.255663,1.209231
0.219,1.627378,1.627378,4.00,2.307422,0.257355,1.209231
0.220,1.601584,1.601584,4.00,2.344294,0.259011,1.209231
0.221,1.597818,1.597818,4.00,2.349698,0.260661,1.209231
0.222,1.607722,1.607722,4.00,2.335573,0.262326,1.209231
0.223,1.616384,1.616384,4.00,2.323223,0.264003,1.209231
0.224,1.610765,1.610765,4.00,2.331274,0.265671,1.209231
0.225,1.610782,1.610782,4.00,2.331274,0.267340,1.209231
0.226,1.580271,1.580271,4.00,2.374884,0.268965,1.209231
0.227,1.566001,1.566001,4.00,2.395293,0.270570,1.209231
0.228,1.549127,1.549127,4.00,2.419421,0.272150,1.209231
0.229,1.538774,1.538774,4.00,2.434233,0.273716,1.209231
0.230,1.520927,1.520927,4.00,2.459750,0.275256,1.209231
0.231,1.499914,1.499914,4.00,2.489791,0.276767,1.209231
0.232,1.486954,1.486954,4.00,2.508327,0.278258,1.209231
0.233,1.471225,1.471225,4.00,2.530817,0.279727,1.209231
0.234,1.453077,1.453077,4.00,2.556764,0.281171,1.209231
0.235,1.437211,1.437211,4.00,2.579450,0.282591,1.209231
0.236,1.390314,1.390314,4.00,2.646464,0.283945,1.209231
0.237,1.373541,1.373541,4.00,2.670445,0.285274,1.209231
0.238,1.363276,1.363276,4.00,2.685129,0.286589,1.209231
0.239,1.345505,1.345505,4.00,2.710533,0.287879,1.209231
0.240,1.329969,1.329969,4.00,2.732746,0.289146,1.209231
0.241,1.291858,1.291858,4.00,2.787207,0.290359,1.209231
0.242,1.265473,1.265473,4.00,2.824917,0.291534,1.209231
0.243,1.246803,1.246803,4.00,2.851605,0.292682,1.209231
0.244,1.217285,1.217285,4.00,2.893789,0.293788,1.209231
0.245,1.187080,1.187080,4.00,2.936955,0.294851,1.209231
0.246,1.187090,1.187090,4.00,2.936955,0.295915,1.209231
0.247,1.187101,1.187101,4.00,2.936955,0.296978,1.209231
0.248,1.115151,1.115151,4.00,3.039755,0.297938,1.209231
0.249,1.097784,1.097784,4.00,3.064578,0.298873,1.209231
0.250,1.082600,1.082600,4.00,3.086283,0.299787,1.209231
0.251,1.060529,1.060529,4.00,3.117826,0.300669,1.209231
0.252,1.007312,1.007312,4.00,3.193861,0.301475,1.209231
0.253,0.981508,0.981508,4.00,3.230735,0.302245,1.209231
0.254,0.958947,0.958947,4.00,3.262975,0.302982,1.209231
0.255,0.930425,0.930425,4.00,3.303730,0.303678,1.209231
0.256,0.904565,0.904565,4.00,3.340683,0.304337,1.209231
0.257,0.887277,0.887277,4.00,3.365390,0.304972,1.209231
0.258,0.867763,0.867763,4.00,3.393275,0.305578,1.209231
0.259,0.841906,0.841906,4.00,3.430223,0.306148,1.209231
0.260,0.814899,0.814899,4.00,3.468810,0.306679,1.209231
0.261,0.761841,0.761841,4.00,3.544614,0.307135,1.209231
0.262,0.744897,0.744897,4.00,3.568827,0.307566,1.209231
0.263,0.730082,0.730082,4.00,3.589997,0.307976,1.209231
0.264,0.712730,0.712730,4.00,3.614790,0.308361,1.209231
0.265,0.697560,0.697560,4.00,3.636468,0.308725,1.209231
0.266,0.669403,0.669403,4.00,3.676697,0.309048,1.209231
0.267,0.664075,0.664075,4.00,3.684312,0.309364,1.209231
0.268,0.655020,0.655020,4.00,3.697253,0.309666,1.209231
0.269,0.647102,0.647102,4.00,3.708568,0.309958,1.209231
0.270,0.640180,0.640180,4.00,3.718461,0.310239,1.209231
0.271,0.611793,0.611793,4.00,3.759017,0.310480,1.209231
0.272,0.609308,0.609308,4.00,3.762570,0.310718,1.209231
0.273,0.593941,0.593941,4.00,3.784527,0.310933,1.209231
0.274,0.576106,0.576106,4.00,3.810007,0.311123,1.209231
0.275,0.569310,0.569310,4.00,3.819719,0.311304,1.209231
0.276,0.554324,0.554324,4.00,3.841129,0.311463,1.209231
0.277,0.554326,0.554326,4.00,3.841129,0.311621,1.209231
0.278,0.534074,0.534074,4.00,3.870063,0.311751,1.209231
0.279,0.532559,0.532559,4.00,3.872228,0.311879,1.209231
0.280,0.526837,0.526837,4.00,3.880404,0.311999,1.209231
0.281,0.500971,0.500971,4.00,3.917358,0.312081,1.209231
0.282,0.490421,0.490421,4.00,3.932429,0.312149,1.209231
0.283,0.489994,0.489994,4.00,3.933041,0.312216,1.209231
0.284,0.494019,0.494019,4.00,3.927292,0.312289,1.209231
0.285,0.497538,0.497538,4.00,3.922266,0.312366,1.209231
0.286,0.507150,0.507150,4.00,3.908535,0.312458,1.209231
0.287,0.513418,0.513418,4.00,3.899583,0.312558,1.209231
0.288,0.510102,0.510102,4.00,3.904321,0.312654,1.209231
