time,u_in,Vin,f_cmd,f_m,integral,uff
0.282,0.573432,0.573432,4.00,3.809383,0.360609,1.209231
0.283,0.557344,0.557344,4.00,3.832365,0.360777,1.209231
0.284,0.547677,0.547677,4.00,3.846176,0.360931,1.209231
0.285,0.530427,0.530427,4.00,3.870818,0.361060,1.209231
0.286,0.476875,0.476875,4.00,3.947321,0.361113,1.209231
0.287,0.464125,0.464125,4.00,3.965536,0.361147,1.209231
0.288,0.452977,0.452977,4.00,3.981462,0.361166,1.209231
0.289,0.452026,0.452026,4.00,3.982820,0.361183,1.209231
0.290,0.455593,0.455593,4.00,3.977725,0.361205,1.209231
0.291,0.443845,0.443845,4.00,3.994507,0.361211,1.209231
0.292,0.435246,0.435246,4.00,4.006792,0.361204,1.209231
0.293,0.427727,0.427727,4.00,4.017533,0.361186,1.209231
0.294,0.421152,0.421152,4.00,4.026925,0.361159,1.209231
0.295,0.415404,0.415404,4.00,4.035137,0.361124,1.209231
0.296,0.419179,0.419179,4.00,4.029744,0.361094,1.209231
0.297,0.422476,0.422476,4.00,4.025035,0.361069,1.209231
0.298,0.425358,0.425358,4.00,4.020918,0.361048,1.209231
0.299,0.419081,0.419081,4.00,4.029884,0.361019,1.209231
0.300,0.417992,0.417992,4.00,4.031441,0.360987,1.209231
0.301,0.432694,0.432694,4.00,4.010438,0.360977,1.209231
0.302,0.426893,0.426893,4.00,4.018725,0.360958,1.209231
0.303,0.433618,0.433618,4.00,4.009117,0.360949,1.209231
0.304,0.444639,0.444639,4.00,3.993372,0.360955,1.209231
0.305,0.444736,0.444736,4.00,3.993234,0.360962,1.209231
0.306,0.444821,0.444821,4.00,3.993113,0.360969,1.209231
0.307,0.444895,0.444895,4.00,3.993007,0.360976,1.209231
0.308,0.444960,0.444960,4.00,3.992914,0.360983,1.209231
0.309,0.465399,0.465399,4.00,3.963715,0.361019,1.209231
0.310,0.462887,0.462887,4.00,3.967304,0.361052,1.209231
0.311,0.460691,0.460691,4.00,3.970441,0.361082,1.209231
0.312,0.467567,0.467567,4.00,3.960618,0.361121,1.209231
0.313,0.464783,0.464783,4.00,3.964595,0.361157,1.209231
0.314,0.447578,0.447578,4.00,3.989174,0.361167,1.209231
0.315,0.442908,0.442908,4.00,3.995846,0.361172,1.209231
0.316,0.443222,0.443222,4.00,3.995397,0.361176,1.209231
0.317,0.443497,0.443497,4.00,3.995004,0.361181,1.209231
0.318,0.452534,0.452534,4.00,3.982094,0.361199,1.209231
0.319,0.479986,0.479986,4.00,3.942877,0.361256,1.209231
0.320,0.497632,0.497632,4.00,3.917668,0.361338,1.209231
0.321,0.504265,0.504265,4.00,3.908193,0.361430,1.209231
0.322,0.510064,0.510064,4.00,3.899909,0.361530,1.209231
0.323,0.515134,0.515134,4.00,3.892666,0.361638,1.209231
0.324,0.527841,0.527841,4.00,3.874513,0.361763,1.209231
0.325,0.530677,0.530677,4.00,3.870461,0.361893,1.209231
0.326,0.533157,0.533157,4.00,3.866919,0.362026,1.209231
0.327,0.560317,0.560317,4.00,3.828119,0.362198,1.209231
0.328,0.559072,0.559072,4.00,3.829897,0.362368,1.209231
0.329,0.557984,0.557984,4.00,3.831452,0.362536,1.209231
0.330,0.557032,0.557032,4.00,3.832811,0.362704,1.209231
0.331,0.555472,0.555472,4.00,3.835039,0.362868,1.209231
0.332,0.563633,0.563633,4.00,3.823382,0.363045,1.209231
