time,u_in,Vin,f_cmd,f_m,integral,uff
0.191,1.820411,1.820411,4.00,2.058633,0.214544,1.209231
0.192,1.841662,1.841662,4.00,2.028557,0.216516,1.209231
0.193,1.860269,1.860269,4.00,2.002260,0.218513,1.209231
0.194,1.872167,1.872167,4.00,1.985551,0.220528,1.209231
0.195,1.904183,1.904183,4.00,1.940108,0.222588,1.209231
0.196,1.923816,1.923816,4.00,1.912359,0.224675,1.209231
0.197,1.932213,1.932213,4.00,1.900664,0.226775,1.209231
0.198,1.939581,1.939581,4.00,1.890439,0.228884,1.209231
0.199,1.954849,1.954849,4.00,1.868932,0.231015,1.209231
0.200,1.962695,1.962695,4.00,1.858030,0.233157,1.209231
0.201,1.970716,1.970716,4.00,1.846879,0.235310,1.209231
0.202,1.968959,1.968959,4.00,1.849695,0.237461,1.209231
0.203,1.971849,1.971849,4.00,1.845875,0.239615,1.209231
0.204,1.974403,1.974403,4.00,1.842534,0.241772,1.209231
0.205,1.974605,1.974605,4.00,1.842554,0.243930,1.209231
0.206,1.968070,1.968070,4.00,1.852197,0.246078,1.209231
0.207,1.957983,1.957983,4.00,1.866912,0.248211,1.209231
0.208,1.953588,1.953588,4.00,1.873494,0.250337,1.209231
0.209,1.940974,1.940974,4.00,1.891816,0.252445,1.209231
0.210,1.924010,1.924010,4.00,1.916347,0.254529,1.209231
0.211,1.915161,1.915161,4.00,1.929284,0.256600,1.209231
0.212,1.911849,1.911849,4.00,1.934311,0.258665,1.209231
0.213,1.904579,1.904579,4.00,1.944990,0.260720,1.209231
0.214,1.898247,1.898247,4.00,1.954328,0.262766,1.209231
0.215,1.887186,1.887186,4.00,1.970419,0.264796,1.209231
0.216,1.874292,1.874292,4.00,1.989127,0.266807,1.209231
0.217,1.858643,1.858643,4.00,2.011767,0.268795,1.209231
0.218,1.849382,1.849382,4.00,2.025279,0.270770,1.209231
0.219,1.836909,1.836909,4.00,2.043376,0.272726,1.209231
0.220,1.791054,1.791054,4.00,2.109154,0.274617,1.209231
0.221,1.777154,1.777154,4.00,2.129278,0.276488,1.209231
0.222,1.765023,1.765023,4.00,2.146872,0.278341,1.209231
0.223,1.750040,1.750040,4.00,2.168539,0.280172,1.209231
0.224,1.736960,1.736960,4.00,2.187484,0.281985,1.209231
0.225,1.694517,1.694517,4.00,2.248366,0.283736,1.209231
0.226,1.694693,1.694693,4.00,2.248366,0.285488,1.209231
0.227,1.694868,1.694868,4.00,2.248366,0.287240,1.209231
0.228,1.638319,1.638319,4.00,2.329389,0.288910,1.209231
0.229,1.617380,1.617380,4.00,2.359536,0.290551,1.209231
0.230,1.581850,1.581850,4.00,2.410520,0.292140,1.209231
0.231,1.568040,1.568040,4.00,2.430472,0.293710,1.209231
0.232,1.551586,1.551586,4.00,2.454200,0.295256,1.209231
0.233,1.528418,1.528418,4.00,2.487513,0.296768,1.209231
0.234,1.512577,1.512577,4.00,2.510356,0.298258,1.209231
0.235,1.460677,1.460677,4.00,2.584701,0.299673,1.209231
0.236,1.426983,1.426983,4.00,2.633030,0.301040,1.209231
0.237,1.397536,1.397536,4.00,2.675286,0.302365,1.209231
0.238,1.363005,1.363005,4.00,2.724798,0.303640,1.209231
0.239,1.328426,1.328426,4.00,2.774372,0.304866,1.209231
0.240,1.275518,1.275518,4.00,2.850119,0.306015,1.209231
0.241,1.247553,1.247553,4.00,2.890228,0.307125,1.209231
0.242,1.209916,1.209916,4.00,2.944146,0.308181,1.209231
0.243,1.177017,1.177017,4.00,2.991288,0.309190,1.209231
0.244,1.139464,1.139464,4.00,3.045073,0.310145,1.209231
0.245,1.081697,1.081697,4.00,3.127721,0.311017,1.209231
0.246,1.042936,1.042936,4.00,3.183211,0.311834,1.209231
0.247,1.000253,1.000253,4.00,3.244294,0.312589,1.209231
0.248,0.962939,0.962939,4.00,3.297701,0.313292,1.209231
0.249,0.934716,0.934716,4.00,3.338113,0.313954,1.209231
0.250,0.871374,0.871374,4.00,3.428684,0.314525,1.209231
0.251,0.841465,0.841465,4.00,3.471486,0.315053,1.209231
0.252,0.841518,0.841518,4.00,3.471486,0.315582,1.209231
0.253,0.841571,0.841571,4.00,3.471486,0.316110,1.209231
0.254,0.763689,0.763689,4.00,3.582806,0.316528,1.209231
0.255,0.696153,0.696153,4.00,3.679331,0.316848,1.209231
0.256,0.675074,0.675074,4.00,3.709485,0.317139,1.209231
0.257,0.661044,0.661044,4.00,3.729567,0.317409,1.209231
0.258,0.639981,0.639981,4.00,3.759692,0.317650,1.209231
0.259,0.625963,0.625963,4.00,3.779748,0.317870,1.209231
0.260,0.590331,0.590331,4.00,3.830676,0.318039,1.209231
0.261,0.560557,0.560557,4.00,3.873228,0.318166,1.209231
0.262,0.538922,0.538922,4.00,3.904149,0.318262,1.209231
0.263,0.511206,0.511206,4.00,3.943751,0.318318,1.209231
0.264,0.504566,0.504566,4.00,3.953244,0.318365,1.209231
0.265,0.477189,0.477189,4.00,3.992354,0.318372,1.209231
0.266,0.461623,0.461623,4.00,4.014589,0.318358,1.209231
0.267,0.452410,0.452410,4.00,4.027746,0.318330,1.209231
0.268,0.439955,0.439955,4.00,4.045534,0.318285,1.209231
0.269,0.420265,0.420265,4.00,4.073652,0.318211,1.209231
0.270,0.392395,0.392395,4.00,4.113449,0.318097,1.209231
0.271,0.383072,0.383072,4.00,4.126750,0.317971,1.209231
0.272,0.370519,0.370519,4.00,4.144662,0.317826,1.209231
