time,Vin,Force
8.325000,2.000000,7.373236668
8.326000,2.000000,7.353755563
8.327000,2.000000,7.343005712
8.328000,2.000000,7.318316098
8.329000,2.000000,7.318302887
8.330000,2.000000,7.299441779
8.331000,2.000000,7.276667643
8.332000,2.000000,7.275604945
8.333000,2.000000,7.296627432
8.334000,2.000000,7.305622883
8.335000,2.000000,7.307204748
8.336000,2.000000,7.296021459
8.337000,2.000000,7.286243503
8.338000,2.000000,7.286243503
8.339000,2.000000,7.295364041
8.340000,2.000000,7.298235070
8.341000,2.000000,7.307028500
8.342000,2.000000,7.302150544
8.343000,2.000000,7.323993339
8.344000,2.000000,7.348399445
8.345000,2.000000,7.350889034
8.346000,2.000000,7.353065771
8.347000,2.000000,7.367535343
8.348000,2.000000,7.392827217
8.349000,2.000000,7.414866588
8.350000,2.000000,7.434136410
8.351000,2.000000,7.438418345
8.352000,2.000000,7.429595825
8.353000,2.000000,7.457540637
8.354000,2.000000,7.458881510
8.355000,2.000000,7.472620254
8.356000,2.000000,7.472066166
8.357000,2.000000,7.471581707
8.358000,2.000000,7.447234170
8.359000,2.000000,7.437303821
8.360000,2.000000,7.428621356
8.361000,2.000000,7.414746777
8.362000,2.000000,7.396332543
8.363000,2.000000,7.384215280
8.364000,2.000000,7.384215280
8.365000,2.000000,7.380445686
8.366000,2.000000,7.366341855
8.367000,2.000000,7.347727178
8.368000,2.000000,7.335281428
8.369000,2.000000,7.333136290
8.370000,2.000000,7.331260718
8.371000,2.000000,7.323337652
8.372000,2.000000,7.303843857
8.373000,2.000000,7.271107853
8.374000,2.000000,7.251894263
8.375000,2.000000,7.253944680
8.376000,2.000000,7.243171063
8.377000,2.000000,7.240034484
8.378000,2.000000,7.235683826
8.379000,2.000000,7.252337677
8.380000,2.000000,7.260615558
8.381000,2.000000,7.274136395
8.382000,2.000000,7.279674969
8.383000,2.000000,7.331154745
8.384000,2.000000,7.348377737
8.385000,2.000000,7.357153239
8.386000,2.000000,7.364825978
8.387000,2.000000,7.377817719
8.388000,2.000000,7.404602202
8.389000,2.000000,7.406312330
8.390000,2.000000,7.401524370
8.391000,2.000000,7.401524370
8.392000,2.000000,7.428218700
8.393000,2.000000,7.437638319
8.394000,2.000000,7.441480191
8.395000,2.000000,7.444839279
8.396000,2.000000,7.447776251
8.397000,2.000000,7.444060967
8.398000,2.000000,7.449749161
8.399000,2.000000,7.445785954
8.400000,2.000000,7.429754408
8.401000,2.000000,7.415737445
8.402000,2.000000,7.403481906
8.403000,2.000000,7.395963895
8.404000,2.000000,7.386193174
8.405000,2.000000,7.377650277
8.406000,2.000000,7.370180912
8.407000,2.000000,7.351083805
8.408000,2.000000,7.314293844
8.409000,2.000000,7.308502898
8.410000,2.000000,7.297156479
8.411000,2.000000,7.299802263
8.412000,2.000000,7.308398754
8.413000,2.000000,7.275379476
8.414000,2.000000,7.255629098
8.415000,2.000000,7.238360625
8.416000,2.000000,7.257168258
8.417000,2.000000,7.254275596
8.418000,2.000000,7.249743580
8.419000,2.000000,7.233214704
8.420000,2.000000,7.243895649
8.421000,2.000000,7.259517571
