time,u_in,Vin,f_cmd,f_m,integral,uff
0.118,-1.525543,0.000000,4.00,5.965543,0.239792,1.209231
0.119,-1.530750,0.000000,4.00,5.970750,0.237821,1.209231
0.120,-1.522736,0.000000,4.00,5.962736,0.235858,1.209231
0.121,-1.522170,0.000000,4.00,5.962170,0.233896,1.209231
0.122,-1.527801,0.000000,4.00,5.967801,0.231928,1.209231
0.123,-1.513875,0.000000,4.00,5.953875,0.229974,1.209231
0.124,-1.489132,0.000000,4.00,5.929132,0.228045,1.209231
0.125,-1.467499,0.000000,4.00,5.907499,0.226138,1.209231
0.126,-1.443034,0.000000,4.00,5.883034,0.224255,1.209231
0.127,-1.443034,0.000000,4.00,5.883034,0.222372,1.209231
0.128,-1.436897,0.000000,4.00,5.876897,0.220495,1.209231
0.129,-1.409262,0.000000,4.00,5.849262,0.218646,1.209231
0.130,-1.385099,0.000000,4.00,5.825099,0.216820,1.209231
0.131,-1.357277,0.000000,4.00,5.797277,0.215023,1.209231
0.132,-1.339647,0.000000,4.00,5.779647,0.213244,1.209231
0.133,-1.299100,0.000000,4.00,5.739100,0.211504,1.209231
0.134,-1.269931,0.000000,4.00,5.709931,0.209794,1.209231
0.135,-1.250710,0.000000,4.00,5.690710,0.208104,1.209231
0.136,-1.212929,0.000000,4.00,5.652929,0.206451,1.209231
0.137,-1.188305,0.000000,4.00,5.628305,0.204823,1.209231
0.138,-1.173059,0.000000,4.00,5.613059,0.203209,1.209231
0.139,-1.153446,0.000000,4.00,5.593446,0.201616,1.209231
0.140,-1.123730,0.000000,4.00,5.563730,0.200052,1.209231
0.141,-1.080527,0.000000,4.00,5.520527,0.198532,1.209231
0.142,-1.041125,0.000000,4.00,5.481125,0.197051,1.209231
0.143,-1.006675,0.000000,4.00,5.446675,0.195604,1.209231
0.144,-0.963988,0.000000,4.00,5.403988,0.194200,1.209231
0.145,-0.926665,0.000000,4.00,5.366665,0.192833,1.209231
0.146,-0.849019,0.000000,4.00,5.289019,0.191544,1.209231
0.147,-0.807294,0.000000,4.00,5.247294,0.190297,1.209231
0.148,-0.777095,0.000000,4.00,5.217095,0.189080,1.209231
0.149,-0.744408,0.000000,4.00,5.184408,0.187895,1.209231
0.150,-0.703262,0.000000,4.00,5.143262,0.186752,1.209231
0.151,-0.605996,0.000000,4.00,5.045996,0.185706,1.209231
0.152,-0.531639,0.000000,4.00,4.971639,0.184735,1.209231
0.153,-0.432393,0.000000,4.00,4.872393,0.183862,1.209231
0.154,-0.367624,0.000000,4.00,4.807624,0.183055,1.209231
0.155,-0.310994,0.000000,4.00,4.750994,0.182304,1.209231
0.156,-0.261481,0.000000,4.00,4.701481,0.181602,1.209231
0.157,-0.179549,0.000000,4.00,4.619549,0.180983,1.209231
0.158,-0.133987,0.000000,4.00,4.573987,0.180409,1.209231
0.159,-0.075301,0.000000,4.00,4.515301,0.179893,1.209231
0.160,-0.017707,0.000000,4.00,4.457707,0.179436,1.209231
0.161,0.038933,0.038933,4.00,4.401067,0.179034,1.209231
0.162,0.126261,0.126261,4.00,4.313739,0.178721,1.209231
0.163,0.171093,0.171093,4.00,4.268907,0.178452,1.209231
0.164,0.210291,0.210291,4.00,4.229709,0.178222,1.209231
0.165,0.244563,0.244563,4.00,4.195437,0.178027,1.209231
0.166,0.280811,0.280811,4.00,4.159189,0.177868,1.209231
0.167,0.370052,0.370052,4.00,4.069948,0.177798,1.209231
0.168,0.403098,0.403098,4.00,4.036902,0.177761,1.209231
0.169,0.438274,0.438274,4.00,4.001726,0.177759,1.209231
0.170,0.475313,0.475313,4.00,3.964687,0.177794,1.209231
0.171,0.520264,0.520264,4.00,3.919736,0.177875,1.209231
0.172,0.611199,0.611199,4.00,3.828801,0.178046,1.209231
0.173,0.632791,0.632791,4.00,3.807209,0.178239,1.209231
0.174,0.657953,0.657953,4.00,3.782047,0.178456,1.209231
0.175,0.686235,0.686235,4.00,3.753765,0.178703,1.209231
0.176,0.710964,0.710964,4.00,3.729036,0.178974,1.209231
0.177,0.745152,0.745152,4.00,3.694848,0.179279,1.209231
0.178,0.824732,0.824732,4.00,3.615268,0.179664,1.209231
0.179,0.863472,0.863472,4.00,3.576528,0.180087,1.209231
0.180,0.897345,0.897345,4.00,3.542655,0.180544,1.209231
0.181,0.933244,0.933244,4.00,3.506756,0.181038,1.209231
0.182,1.003852,1.003852,4.00,3.436148,0.181601,1.209231
0.183,1.020084,1.020084,4.00,3.419916,0.182182,1.209231
0.184,1.040559,1.040559,4.00,3.399441,0.182782,1.209231
0.185,1.077311,1.077311,4.00,3.362689,0.183419,1.209231
0.186,1.115727,1.115727,4.00,3.324273,0.184095,1.209231
0.187,1.166907,1.166907,4.00,3.273093,0.184822,1.209231
0.188,1.206631,1.206631,4.00,3.233369,0.185589,1.209231
0.189,1.247647,1.247647,4.00,3.192353,0.186396,1.209231
0.190,1.283508,1.283508,4.00,3.156492,0.187240,1.209231
0.191,1.296013,1.296013,4.00,3.143987,0.188096,1.209231
0.192,1.376180,1.376180,4.00,3.063820,0.189032,1.209231
0.193,1.414738,1.414738,4.00,3.025262,0.190007,1.209231
0.194,1.448452,1.448452,4.00,2.991548,0.191015,1.209231
0.195,1.490495,1.490495,4.00,2.949505,0.192066,1.209231
0.196,1.527254,1.527254,4.00,2.912746,0.193153,1.209231
0.197,1.611840,1.611840,4.00,2.828160,0.194325,1.209231
0.198,1.664767,1.664767,4.00,2.775233,0.195550,1.209231
0.199,1.704760,1.704760,4.00,2.735240,0.196814,1.209231
0.200,1.739727,1.739727,4.00,2.700273,0.198114,1.209231
0.201,1.764017,1.764017,4.00,2.675983,0.199438,1.209231
0.202,1.822953,1.822953,4.00,2.617047,0.200821,1.209231
0.203,1.949425,1.949425,4.00,2.490575,0.202330,1.209231
0.204,1.991346,1.991346,4.00,2.448654,0.203882,1.209231
0.205,2.027998,2.027998,4.00,2.412002,0.205470,1.209231
0.206,2.099842,2.099842,4.00,2.340158,0.207130,1.209231
0.207,2.135427,2.135427,4.00,2.304573,0.208825,1.209231
0.208,2.166541,2.166541,4.00,2.273459,0.210552,1.209231
0.209,2.200027,2.200027,4.00,2.239973,0.212312,1.209231
0.210,2.229306,2.229306,4.00,2.210694,0.214101,1.209231
0.211,2.307125,2.307125,4.00,2.132875,0.215968,1.209231
0.212,2.335512,2.335512,4.00,2.104488,0.217864,1.209231
0.213,2.347765,2.347765,4.00,2.092235,0.219771,1.209231
0.214,2.352195,2.352195,4.00,2.087805,0.221684,1.209231
0.215,2.381202,2.381202,4.00,2.058798,0.223625,1.209231
0.216,2.427947,2.427947,4.00,2.012053,0.225613,1.209231
0.217,2.441151,2.441151,4.00,1.998849,0.227614,1.209231
